vendor_id,recipient_uei,recipient_duns,recipient_name,recipient_name_raw,recipient_doing_business_as_name,cage_code,recipient_parent_uei,recipient_parent_duns,recipient_parent_name,recipient_country_code,recipient_address_line_1,recipient_address_line_2,recipient_city_name,recipient_county_name,recipient_state_code,recipient_zip_4_code,contracting_officers_determination_of_business_size_code,contracting_officers_determination_of_business_size,source_transaction_count,recipient_name_variant_count,address_variant_count
UEI:NHLFKHUHVHA8,NHLFKHUHVHA8,,"ALUTIIQ LOGISTICS & MAINTENANCE SERVICES, LLC","ALUTIIQ LOGISTICS & MAINTENANCE SERVICES, LLC",,7GSM6,TCLRCC4S6BH8,,AFOGNAK NATIVE CORPORATION,USA,3909 ARCTIC BLVD STE 500,,ANCHORAGE,ANCHORAGE,AK,995035793,S,SMALL BUSINESS,8,1,1
UEI:UKPLW845ADF9,UKPLW845ADF9,,"DUBOIS CONSTRUCTION, INC.","DUBOIS CONSTRUCTION, INC.",,1SSR6,UKPLW845ADF9,,"DUBOIS CONSTRUCTION, INC.",USA,7126 DOGWOOD RD,,WINDSOR MILL,BALTIMORE,MD,212441801,S,SMALL BUSINESS,13,1,1
UEI:LJZ8B92U8MH4,LJZ8B92U8MH4,,"ENVIROSPARK ENERGY SOLUTIONS, LLC","ENVIROSPARK ENERGY SOLUTIONS, LLC",,8NGX7,LJZ8B92U8MH4,,"ENVIROSPARK ENERGY SOLUTIONS, LLC",USA,1389 CHATTAHOOCHEE AVE NW,,ATLANTA,FULTON,GA,303182835,S,SMALL BUSINESS,16,1,1
UEI:GNUBK9JQN3K6,GNUBK9JQN3K6,,SCHOOLEY CALDWELL ASSOCIATES INC,SCHOOLEY CALDWELL ASSOCIATES INC,,4K850,GNUBK9JQN3K6,,SCHOOLEY CALDWELL ASSOCIATES INC,USA,300 MARCONI BLVD,,COLUMBUS,FRANKLIN,OH,432152317,S,SMALL BUSINESS,8,1,2
UEI:KEUPEUF8J3F7,KEUPEUF8J3F7,,HD INC.,HD INC.,,6U7K9,KEUPEUF8J3F7,,HD INC.,USA,6391 AVIATION CIR,,LOVELAND,LARIMER,CO,805389000,S,SMALL BUSINESS,18,1,2
UEI:HEB5JDZGDMK1,HEB5JDZGDMK1,,"COPPER CREEK, LLC","COPPER CREEK, LLC",,80X95,U2KHVTQM6G26,,COPPER CREEK  LLC,USA,2220 RIVER DR N,,GREAT FALLS,CASCADE,MT,594011330,S,SMALL BUSINESS,15,1,1
UEI:CJBJVHUSXAF8,CJBJVHUSXAF8,,TK ELEVATOR CORPORATION,THYSSENKRUPP ELEVATOR CORPORATION,,4NN43,J89PJ41DVKD8,,THYSSENKRUPP ELEVATOR CORP,USA,4355 EXCEL PKWY STE 800,,ADDISON,DALLAS,TX,750015605,O,OTHER THAN SMALL BUSINESS,70,1,1
UEI:MYS9ZCJUSZ25,MYS9ZCJUSZ25,,"ELEVATED TECHNOLOGIES SERVICES, LLC","ELEVATED TECHNOLOGIES, INC.",,4NSB9,MYS9ZCJUSZ25,,"ELEVATED TECHNOLOGIES SERVICES, LLC",USA,"126 SEVEN FARMS DR, STE 160-B",,CHARLESTON,BERKELEY,SC,294928233,S,SMALL BUSINESS,45,1,2
UEI:WFN1L9K1LAL5,WFN1L9K1LAL5,,"CW RESOURCES, INC.","CW RESOURCES, INC.",CW RESOURCES INC,9N853,WFN1L9K1LAL5,,"CW RESOURCES, INC.",USA,200 MYRTLE ST,,NEW BRITAIN,CAPITOL,CT,060534160,O,OTHER THAN SMALL BUSINESS,10,1,1
UEI:KTTQP5D3JDY7,KTTQP5D3JDY7,,PRIDE INDUSTRIES,PRIDE INDUSTRIES,,0V1H4,KTTQP5D3JDY7,,PRIDE INDUSTRIES,USA,10030 FOOTHILLS BLVD,,ROSEVILLE,PLACER,CA,957477102,O,OTHER THAN SMALL BUSINESS,8,1,1
